,rpm,Q_pcm,soc,outdoor_temp,e_price,load,u_pcm_charge,u_pcm_discharge,e,EER
0,0.0,0.0,0.0,20.2999999999999,0.10808,0.0,1.0,1.0,-0.0,-1.920669013528253
1,0.0,0.0,-0.18518518518518517,19.85,0.09,0.0,0.0,0.0,-0.0,-1.810635135960858
2,846.746969953942,0.0,-0.5555555555555556,19.3625,0.07416,0.0,0.0,0.0,0.0,4.651182392812976
3,0.710705482317889,0.0,-0.7407407407407407,19.125,0.07711,0.0,0.0,0.0,-0.0,-1.6239845695392856
4,0.0,0.0,-0.7407407407407407,18.9249999999999,0.10808,0.0,0.0,0.0,-0.0,-1.5801042270525336
5,0.0,0.0,-0.7407407407407407,18.8125,0.11008,0.0,0.0,0.0,-0.0,-1.5516674740096912
6,1811.1797394850378,-5.0,-0.9259259259259258,19.1499999999999,0.08579,0.0,0.0,1.0,0.0,8.621197699988183
7,307.96975174219114,0.0,-1.6666666666666663,19.8125,0.0871,0.0,0.0,0.0,0.0,0.818890046524376
8,232.39378696851145,0.0,-1.6666666666666663,20.6,0.0782,0.8470512661650105,0.0,0.0,49.09725772438144,0.01725251684972151
9,1270.927025455224,0.0,-1.6666666666666663,21.3999999999999,0.0685,3.087493896493438,0.0,0.0,0.48902023381828613,6.313632203694689
10,0.0,0.0,-1.8518518518518514,22.2,0.06492,1.7388866589567415,0.0,0.0,-0.7337121026320762,-2.369984974649812
11,1200.0,0.0,-1.8518518518518514,22.9125,0.05813,2.125585536096238,1.0,1.0,0.3760651641278897,5.6521734498475995
12,91.9679196771428,5.0,-1.4814814814814812,23.6124999999999,0.056119999999999996,4.0290582285955,1.0,0.0,-2.1569623062976264,-1.8679316818991059
13,1200.0,5.0,-0.9259259259259258,24.1374999999999,0.06194,7.422789397710174,1.0,0.0,1.3793041081894395,5.381546646340226
14,0.0,5.0,-0.5555555555555556,24.4624999999999,0.065,3.5721763432640863,1.0,0.0,-1.243441251610382,-2.8728147297974527
15,2900.0,-5.0,-5.551115123125783e-17,24.6749999999999,0.0685,1.8029410029087702,0.0,1.0,0.23939917610456035,7.531107801813466
16,2900.0,5.0,0.18518518518518512,24.7875,0.07314,12.492707925344373,1.0,0.0,1.6641007132960746,7.507182603509699
17,1946.5076238351714,5.0,0.3703703703703703,24.625,0.08211,9.91289916947611,1.0,0.0,1.3011946352966386,7.6183062092138325
18,2517.118291880318,-5.0,0.3703703703703703,24.1625,0.11008,1.208548212401423,0.0,1.0,0.1494735291401674,8.085366147126415
19,423.1979289625669,0.0,-0.18518518518518523,23.5749999999999,0.11008,0.0,0.0,0.0,0.0,0.8286612467729824
20,0.0,0.0,-0.18518518518518523,22.9749999999999,0.11008,0.0,0.0,0.0,-0.0,-2.5461679355162747
21,0.0,0.0,-0.18518518518518523,22.375,0.10208,0.0,0.0,0.0,-0.0,-2.4101273526131797
22,833.3667267066821,0.0,-0.18518518518518523,21.7749999999999,0.08056999999999999,0.0,0.0,0.0,0.0,3.990326973670797
23,1875.5365411525804,-5.0,-0.3703703703703704,21.175,0.08315,0.0,0.0,1.0,0.0,8.263338051285194
24,0.0,0.0,-0.7407407407407407,20.5749999999999,0.08315,0.0,0.0,0.0,-0.0,-1.9872300216451915
25,0.0,0.0,-0.9259259259259258,20.2374999999999,0.08598,0.0,1.0,1.0,-0.0,-1.9054693652857468
26,0.0,0.0,-1.6666666666666663,19.85,0.08315,0.0,0.0,0.0,-0.0,-1.810635135960858
27,0.0,0.0,-2.0370370370370368,19.625,0.079,0.0,0.0,0.0,-0.0,-1.755098743113369
28,0.0,0.0,-2.407407407407407,19.5124999999999,0.07772,0.0,1.0,1.0,-0.0,-1.727200683173655
29,1330.2922989129097,0.0,-2.592592592592592,19.4124999999999,0.06702,0.0,0.0,0.0,0.0,7.042583202814436
30,0.0,0.0,-2.592592592592592,19.6625,0.07937999999999999,0.0,0.0,0.0,-0.0,-1.7643788573871997
31,0.0,0.0,-2.9629629629629624,20.1374999999999,0.079,0.0,0.0,0.0,-0.0,-1.8810943486505831
32,125.15918819870672,0.0,-3.3333333333333326,20.8125,0.078,0.0,0.0,0.0,-0.0,-0.936110669102515
33,322.6644944151637,0.0,-3.703703703703703,21.6,0.06244,0.0,0.0,0.0,0.0,0.5055840520676465
34,888.4247697564703,0.0,-4.0740740740740735,22.4875,0.0573,0.0,0.0,0.0,0.0,4.1472722603694
35,0.0,0.0,-4.444444444444444,23.2999999999999,0.06,0.0,1.0,1.0,-0.0,-2.618828364816462
36,0.0,0.0,-4.444444444444444,24.0125,0.05583,0.0,0.0,0.0,-0.0,-2.7755940524699443
37,426.3216312917708,0.0,-4.444444444444444,24.4499999999999,0.05383,0.0,0.0,0.0,0.0,0.6616504510252397
38,0.0,0.0,-4.629629629629629,24.6749999999999,0.0573,0.0,0.0,0.0,-0.0,-2.918242983688269
39,0.0,0.0,-4.629629629629629,24.6999999999999,0.058100000000000006,0.0,1.0,1.0,-0.0,-2.9235671762710886
40,0.0,0.0,-4.814814814814814,24.7875,0.06745000000000001,0.0,1.0,1.0,-0.0,-2.942168181992037
41,0.0,0.0,-4.814814814814814,24.625,0.07848000000000001,0.0,0.0,0.0,-0.0,-2.9075817724963793
42,0.0,0.0,-4.999999999999999,24.25,0.08334000000000001,0.0,0.0,0.0,-0.0,-2.8270775824407504
43,0.0,0.0,-4.999999999999999,23.7624999999999,0.09447,0.0,0.0,0.0,-0.0,-2.720984017173317
44,11.097440499231414,0.0,-4.999999999999999,23.175,0.09447,0.0,0.0,0.0,-0.0,-2.490312985392719
