,rpm,u_hp,Q_pcm,soc,outdoor_temp,e_price,load,u_pcm,e,EER
0,1581.8665944434124,0.0,1.25,0.0,20.2999999999999,0.10808,0.0,1.0,0.0,7.724934082043841
1,1908.716244466732,1.0,0.0,0.013994895915452887,20.1499999999999,0.10808,0.0,0.0,0.0,8.573884958886387
2,2247.994244474063,0.0,1.25,0.56506378519237,20.05,0.10808,0.0,1.0,0.0,9.013960724497323
3,2795.5575222683638,1.0,0.0,0.21055532482073547,19.9499999999999,0.10808,0.0,0.0,0.0,8.790336249944017
4,1716.9872626536144,0.0,0.0,0.8479234144360717,19.85,0.09,0.0,0.0,0.0,8.219852290676533
5,1966.1323173659514,1.0,0.0,0.4180319050728242,19.7375,0.09,0.0,0.0,0.0,8.776083518156076
6,1225.1603645333776,1.0,1.25,0.11472523333275086,19.6125,0.09,0.0,1.0,0.0,6.545548893369914
7,1247.5788991957177,0.0,0.0,0.17002162688086087,19.4875,0.09,0.0,0.0,0.0,6.675467872663511
8,2443.2612823675254,1.0,1.25,0.529783210661976,19.3625,0.07416,0.0,1.0,0.0,9.225496150035326
9,1944.9341401615284,0.0,1.25,0.23746064758328556,19.2749999999999,0.07416,0.0,1.0,0.0,8.855150014205302
10,2252.755246967871,0.0,0.0,0.6046072604876566,19.225,0.07416,0.0,0.0,0.0,9.220891462483873
11,1309.8318969229058,0.0,1.25,0.07937616299034411,19.175,0.07416,0.0,1.0,0.0,7.018140468712468
12,2204.3423793549664,0.0,0.0,0.010780350576629738,19.125,0.07711,0.0,0.0,0.0,9.214169557050695
13,2893.2886859241644,1.0,1.25,0.09192467861028741,19.075,0.07711,0.0,1.0,0.0,8.844028615997459
14,2444.196020906208,1.0,1.25,0.6385691030163095,19.0249999999999,0.07711,0.0,1.0,0.0,9.3099086204524
15,1287.606253924364,0.0,0.0,0.47007518144621996,18.975,0.07711,0.0,0.0,0.0,6.975603114868823
16,1898.7881679093434,0.0,0.0,0.8014083737077846,18.9249999999999,0.10808,0.0,0.0,0.0,8.859202352783274
17,2754.6415108350443,1.0,0.0,0.2621247892323103,18.8874999999999,0.10808,0.0,0.0,0.0,9.112677801370747
18,1849.8224513457353,1.0,0.0,0.60549028578174,18.8625,0.10808,0.0,0.0,0.0,8.777188337892403
19,2095.0703692240745,0.0,1.25,0.845472409678154,18.8374999999999,0.10808,0.0,1.0,0.0,9.182261904206133
20,2142.6042818754195,1.0,1.25,0.08468689583174493,18.8125,0.11008,0.0,1.0,0.0,9.239538425486224
21,2143.583943872511,1.0,1.25,0.44361457891979283,18.85,0.11008,0.0,1.0,0.0,9.231010012004077
22,2128.0167830874134,0.0,1.25,0.21084367776185464,18.9499999999999,0.11008,0.0,1.0,0.0,9.190067855437691
23,2561.2436652363976,0.0,0.0,0.3922004763061525,19.05,0.11008,0.0,0.0,0.0,9.259019865448098
24,1462.9140750292615,0.0,0.0,0.41253890848837604,19.1499999999999,0.08579,0.0,0.0,0.0,7.61286275436054
25,1300.8475238519131,1.0,0.0,0.3350231126646097,19.2875,0.08579,0.0,0.0,0.0,6.952691034728364
26,2847.826443239647,0.0,0.0,0.24392919860433993,19.4624999999999,0.08579,0.0,0.0,0.0,8.82775330551972
27,2138.5944546556307,0.0,1.25,0.8196526520527639,19.6374999999999,0.08579,0.0,1.0,0.0,9.029045000042586
28,1786.5721636186613,0.0,0.0,0.5404782923876678,19.8125,0.0871,0.0,0.0,0.0,8.40033777194387
29,2275.6057546816533,0.0,0.0,0.27604390776176724,20.0,0.0871,0.0,0.0,0.0,9.04085965289648
30,2047.2442454664617,0.0,1.25,0.14043199924422622,20.1999999999999,0.0871,0.0,1.0,0.0,8.784025925691022
31,2235.001724278025,0.0,1.25,0.4040895719195222,20.3999999999999,0.0871,0.0,1.0,0.0,8.920843370482002
32,2421.843676442132,1.0,0.0,0.3729673646391871,20.6,0.0782,0.04816975031388333,0.0,0.005397423495243452,8.924582322720005
33,2386.5248662855374,0.0,1.25,0.8354054541954512,20.7999999999999,0.0782,0.25720815110946454,1.0,0.02897525998833451,8.876819438825294
34,1982.756845839635,0.0,1.25,0.7639487769206532,21.0,0.0782,0.26198093300488046,1.0,0.030832826748396432,8.49681850913996
35,1912.0202528820232,0.0,0.0,0.24380182884352086,21.2,0.0782,0.2796924317367822,0.0,0.033586210880964605,8.327597082268703
36,2232.8020462275927,1.0,-0.0,0.5656274080540649,21.3999999999999,0.0685,0.3944022835890377,0.0,0.04543508172174816,8.680567276282709
37,1750.4078692660414,1.0,-1.25,0.3564982799634753,21.6,0.0685,0.7337179608572686,1.0,0.0930610879712662,7.884261584001828
38,2363.076724546876,0.0,-0.0,0.07817290347771066,21.7999999999999,0.0685,0.7588995282195455,0.0,0.08785326969575015,8.638261624726495
39,2893.6516474028713,1.0,-0.0,0.11508918134385404,22.0,0.0685,1.200474123827586,0.0,0.14752574473942684,8.13738731465461
40,1990.430346399654,1.0,-1.25,0.4763050801022122,22.2,0.06492,0.2745817484725699,1.0,0.03337171399494115,8.227978596310457
41,2609.545644922,1.0,-0.0,0.01890000512691814,22.3875,0.06492,0.5077302412910003,0.0,0.06027105405090875,8.424114183603612
42,2724.9460360629073,0.0,-1.25,0.41063695144395373,22.5625,0.06492,0.30492588722170055,1.0,0.036878608546790585,8.268367469309988
43,1701.2137738092183,0.0,-0.0,0.1537474541952647,22.7374999999999,0.06492,0.6516487819714709,0.0,0.08692699073230022,7.496506855716244
